,System,TESS source,Cadence [s],Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,duration,depth,t0,T0err,period,Perioderr,Ephemeris_reference,R_A,R_b,R_b_over_R_A_squared,TIC,TESSMag,SNR,M_A,M_b,a(AU),(m_p/m_s)*(R_s/a)^5,Period(day)
46,HAT-P-38,TESS-SPOC,1800, TEP  ,2.0,21.0,31.97,32.0,14.0,46.1,12.56,10.5,0.1267,1.2,2457491.87585,9E-05,4.6403293,1.7E-06,arXiv:1812.05882,0.923,0.825,0.00806128688724354,285272237,11.7524,45.6144560016004,0.886,0.267,0.0523,1.07121786371133E-09,4.6403293000000000
48,HAT-P-40,TESS-SPOC,1800, TEP  ,22.0,22.0,3.33,45.0,27.0,26.6,11.34,10.01,0.2557,0.4,2455813.17584,0.00054,4.457243,1E-05,2012AJ....144..139H,2.206,1.73,0.00620556133117748,199671901,10.9726,35.612273683651300,1.512,0.615,0.0608,5.31047263058073E-08,4.457243
55,HAT-P-47,TESS-SPOC,1800, TEP  ,2.0,33.0,13.97,30.0,21.0,37.8,10.69,9.4,0.1287,0.8,2455661.63669,0.00041,4.732182,1.3E-05,arXiv:1606.04556,1.515,1.313,0.007578863211111110,73448352,10.1868,80.38436413372620,1.387,0.206,0.0615,2.79755446668416E-09,4.732182
56,HAT-P-48,TESS-SPOC,1800, TEP  ,2.0,57.0,53.03,30.0,37.0,32.5,12.16,10.26,0.1411,1.0,2455839.21023,0.00029,4.40865,8E-06,arXiv:1606.04556,1.223,1.131,0.00862923264849615,346626688,11.4453,49.0726730675362,1.099,0.168,0.0543,1.83969120725222E-09,4.40865
57,HAT-P-49,TESS-SPOC,1800, TEP  ,20.0,21.0,45.93,26.0,41.0,33.7,10.21,9.35,0.1712,0.8,2456399.62406,0.00063,2.691548,6E-06,2014AJ....147...84B,1.833,1.413,0.00599596757964995,99224131,9.93225,106.842637384976,1.543,1.73,0.0438,2.98828596771008E-07,2.691548
59,HAT-P-51,QLP,1800, TEP  ,1.0,24.0,15.66,32.0,48.0,38.8,13.44,11.61,0.1403,2.0,2456194.12204,0.0004,4.2180278,5.9E-06,2015AJ....150..168H,1.041,1.293,0.0155666611848159,61205803,12.7628,39.4873181359401,0.976,0.309,0.05069,2.40132564703353E-09,4.2180278
60,HAT-P-52,QLP,1800, TEP  ,2.0,50.0,53.2,29.0,1.0,20.6,14.07,11.62,0.1003,1.8,2456645.13981,0.00032,2.7535965,1.1E-06,arXiv:1812.05882,0.893,1.009,0.0128818814136108,436875934,13.1361,22.767443350732,0.887,0.818,0.03694,1.58089391886127E-08,2.7535965
61,HAT-P-53,QLP,1800, TEP  ,1.0,27.0,29.05,38.0,58.0,5.3,13.73,12.1,0.1164,1.5,2456514.0562,0.00025,1.9616265,7E-07,arXiv:2012.07478,1.209,1.318,0.0119916267144541,189380158,13.0942,21.0949808272223,1.093,1.484,0.03159,2.31471390146882E-07,1.9616265
111,HATS-35,QLP,1800, TEP  ,19.0,46.0,45.12,-63.0,33.0,56.2,12.56,11.12,0.1299,1.3,2456981.80199,0.00041,1.8209993,1.6E-06,2016AJ....152..161D,1.433,1.464,0.0105314860013567,339522221,12.0457,41.0402816198146,1.317,1.222,0.03199,3.47492462449775E-07,1.8209993
114,HATS-38,QLP,1800, TEP  ,10.0,17.0,5.08,-25.0,16.0,34.6,12.41,10.77,0.134,0.5,2457725.16042,0.00072,4.375021,1E-05,arXiv:2007.07135,1.105,0.614,0.00311538746683319,168281028,11.8134,18.7651742660393,0.89,0.074,0.05036,8.78061028704239E-10,4.375021
